sep=,
"Time","Light"
2022-04-04 09:22:32,426.2 lux
2022-04-04 09:22:33,423.4 lux
2022-04-04 09:22:34,420.5 lux
2022-04-04 09:22:35,415.6 lux
2022-04-04 09:22:36,414.1 lux
2022-04-04 09:22:37,408.1 lux
2022-04-04 09:22:38,406.1 lux
2022-04-04 09:22:39,402.0 lux
2022-04-04 09:22:40,397.7 lux
2022-04-04 09:22:41,396.6 lux
2022-04-04 09:22:42,392.3 lux
2022-04-04 09:22:43,388.8 lux
2022-04-04 09:22:44,386.5 lux
2022-04-04 09:22:45,380.2 lux
2022-04-04 09:22:46,380.2 lux
2022-04-04 09:22:47,378.4 lux
2022-04-04 09:22:48,377.3 lux
2022-04-04 09:22:49,377.3 lux
2022-04-04 09:22:50,376.1 lux
2022-04-04 09:22:51,374.4 lux
2022-04-04 09:22:52,372.1 lux
2022-04-04 09:22:53,370.9 lux
2022-04-04 09:22:54,367.5 lux
2022-04-04 09:22:55,364.0 lux
2022-04-04 09:22:56,360.6 lux
2022-04-04 09:22:57,355.1 lux
2022-04-04 09:22:58,351.1 lux
2022-04-04 09:22:59,346.8 lux
2022-04-04 09:23:00,342.1 lux
2022-04-04 09:23:01,338.1 lux
2022-04-04 09:23:02,336.4 lux
2022-04-04 09:23:03,333.8 lux
2022-04-04 09:23:04,330.3 lux
2022-04-04 09:23:05,328.2 lux
2022-04-04 09:23:06,325.0 lux
2022-04-04 09:23:07,322.6 lux
2022-04-04 09:23:08,319.1 lux
2022-04-04 09:23:09,318.1 lux
2022-04-04 09:23:10,316.8 lux
2022-04-04 09:23:11,316.1 lux
2022-04-04 09:23:12,314.4 lux
2022-04-04 09:23:13,315.2 lux
2022-04-04 09:23:14,315.4 lux
2022-04-04 09:23:15,316.8 lux
2022-04-04 09:23:16,318.2 lux
2022-04-04 09:23:17,318.4 lux
2022-04-04 09:23:18,320.1 lux
2022-04-04 09:23:19,320.4 lux
2022-04-04 09:23:20,319.7 lux
2022-04-04 09:23:21,319.8 lux
2022-04-04 09:23:22,321.6 lux
2022-04-04 09:23:23,323.3 lux
2022-04-04 09:23:24,326.0 lux
2022-04-04 09:23:25,327.2 lux
2022-04-04 09:23:26,329.8 lux
2022-04-04 09:23:27,330.5 lux
2022-04-04 09:23:28,332.9 lux
2022-04-04 09:23:29,334.1 lux
2022-04-04 09:23:30,334.4 lux
2022-04-04 09:23:31,336.1 lux
2022-04-04 09:23:32,337.0 lux
2022-04-04 09:23:33,335.8 lux
2022-04-04 09:23:34,338.4 lux
2022-04-04 09:23:35,337.2 lux
2022-04-04 09:23:36,334.7 lux
2022-04-04 09:23:37,335.2 lux
2022-04-04 09:23:38,336.1 lux
2022-04-04 09:23:39,339.0 lux
2022-04-04 09:23:40,341.6 lux
2022-04-04 09:23:41,346.2 lux
2022-04-04 09:23:42,351.1 lux
2022-04-04 09:23:43,357.4 lux
2022-04-04 09:23:44,363.5 lux
2022-04-04 09:23:45,370.4 lux
2022-04-04 09:23:46,378.4 lux
2022-04-04 09:23:47,385.3 lux
2022-04-04 09:23:48,392.3 lux
2022-04-04 09:23:49,399.2 lux
2022-04-04 09:23:50,409.5 lux
2022-04-04 09:23:51,417.3 lux
2022-04-04 09:23:52,426.2 lux
2022-04-04 09:23:53,431.1 lux
2022-04-04 09:23:54,434.9 lux
2022-04-04 09:23:55,438.6 lux
2022-04-04 09:23:56,442.1 lux
2022-04-04 09:23:57,445.5 lux
2022-04-04 09:23:58,449.0 lux
2022-04-04 09:23:59,449.3 lux
2022-04-04 09:24:00,449.3 lux
2022-04-04 09:24:01,449.3 lux
2022-04-04 09:24:02,449.0 lux
2022-04-04 09:24:03,445.5 lux
2022-04-04 09:24:04,443.5 lux
2022-04-04 09:24:05,445.5 lux
2022-04-04 09:24:06,441.5 lux
2022-04-04 09:24:07,444.4 lux
2022-04-04 09:24:08,446.4 lux
2022-04-04 09:24:09,446.4 lux
2022-04-04 09:24:10,451.6 lux
2022-04-04 09:24:11,453.0 lux
2022-04-04 09:24:12,456.5 lux
2022-04-04 09:24:13,459.6 lux
2022-04-04 09:24:14,463.1 lux
2022-04-04 09:24:15,470.0 lux
2022-04-04 09:24:16,472.3 lux
2022-04-04 09:24:17,474.0 lux
2022-04-04 09:24:18,475.2 lux
2022-04-04 09:24:19,478.7 lux
2022-04-04 09:24:20,482.1 lux
2022-04-04 09:24:21,485.6 lux
2022-04-04 09:24:22,489.0 lux
2022-04-04 09:24:23,493.1 lux
2022-04-04 09:24:24,495.4 lux
2022-04-04 09:24:25,497.1 lux
2022-04-04 09:24:26,498.2 lux
2022-04-04 09:24:27,498.2 lux
2022-04-04 09:24:28,498.2 lux
2022-04-04 09:24:29,500.0 lux
2022-04-04 09:24:30,501.1 lux
2022-04-04 09:24:31,501.7 lux
2022-04-04 09:24:32,505.2 lux
2022-04-04 09:24:33,508.6 lux
2022-04-04 09:24:34,512.1 lux
2022-04-04 09:24:35,513.2 lux
2022-04-04 09:24:36,515.5 lux
2022-04-04 09:24:37,515.5 lux
2022-04-04 09:24:38,517.5 lux
2022-04-04 09:24:39,518.4 lux
2022-04-04 09:24:40,518.4 lux
2022-04-04 09:24:41,519.8 lux
2022-04-04 09:24:42,521.3 lux
2022-04-04 09:24:43,524.2 lux
2022-04-04 09:24:44,526.2 lux
2022-04-04 09:24:45,522.7 lux
2022-04-04 09:24:46,521.3 lux
2022-04-04 09:24:47,521.6 lux
2022-04-04 09:24:48,523.3 lux
2022-04-04 09:24:49,519.8 lux
2022-04-04 09:24:50,518.4 lux
2022-04-04 09:24:51,516.1 lux
2022-04-04 09:24:52,518.4 lux
2022-04-04 09:24:53,517.0 lux
2022-04-04 09:24:54,515.5 lux
2022-04-04 09:24:55,515.2 lux
2022-04-04 09:24:56,511.8 lux
2022-04-04 09:24:57,508.3 lux
2022-04-04 09:24:58,506.9 lux
2022-04-04 09:24:59,506.9 lux
2022-04-04 09:25:00,503.4 lux
2022-04-04 09:25:01,500.0 lux
2022-04-04 09:25:02,496.5 lux
2022-04-04 09:25:03,493.1 lux
2022-04-04 09:25:04,500.5 lux
2022-04-04 09:25:05,498.2 lux
2022-04-04 09:25:06,496.5 lux
2022-04-04 09:25:07,497.7 lux
2022-04-04 09:25:08,494.8 lux
2022-04-04 09:25:09,493.6 lux
2022-04-04 09:25:10,495.4 lux
2022-04-04 09:25:11,495.4 lux
2022-04-04 09:25:12,497.7 lux
2022-04-04 09:25:13,495.4 lux
2022-04-04 09:25:14,497.1 lux
2022-04-04 09:25:15,495.9 lux
2022-04-04 09:25:16,493.6 lux
2022-04-04 09:25:17,498.2 lux
2022-04-04 09:25:18,496.5 lux
2022-04-04 09:25:19,495.4 lux
2022-04-04 09:25:20,497.1 lux
2022-04-04 09:25:21,491.6 lux
2022-04-04 09:25:22,491.0 lux
2022-04-04 09:25:23,492.5 lux
2022-04-04 09:25:24,490.2 lux
2022-04-04 09:25:25,491.6 lux
2022-04-04 09:25:26,488.2 lux
2022-04-04 09:25:27,488.7 lux
2022-04-04 09:25:28,494.8 lux
2022-04-04 09:25:29,497.1 lux
2022-04-04 09:25:30,501.1 lux
2022-04-04 09:25:31,503.1 lux
2022-04-04 09:25:32,506.9 lux
2022-04-04 09:25:33,511.5 lux
2022-04-04 09:25:34,517.0 lux
2022-04-04 09:25:35,518.4 lux
2022-04-04 09:25:36,521.0 lux
2022-04-04 09:25:37,522.1 lux
2022-04-04 09:25:38,522.7 lux
2022-04-04 09:25:39,521.3 lux
2022-04-04 09:25:40,521.3 lux
2022-04-04 09:25:41,522.1 lux
2022-04-04 09:25:42,525.6 lux
2022-04-04 09:25:43,525.0 lux
2022-04-04 09:25:44,524.2 lux
2022-04-04 09:25:45,526.5 lux
2022-04-04 09:25:46,524.2 lux
2022-04-04 09:25:47,525.9 lux
2022-04-04 09:25:48,524.7 lux
2022-04-04 09:25:49,524.2 lux
2022-04-04 09:25:50,524.2 lux
2022-04-04 09:25:51,522.4 lux
2022-04-04 09:25:52,523.6 lux
2022-04-04 09:25:53,524.2 lux
2022-04-04 09:25:54,524.2 lux
2022-04-04 09:25:55,522.4 lux
2022-04-04 09:25:56,523.6 lux
2022-04-04 09:25:57,524.2 lux
2022-04-04 09:25:58,523.0 lux
2022-04-04 09:25:59,521.3 lux
2022-04-04 09:26:00,523.6 lux
2022-04-04 09:26:01,523.6 lux
2022-04-04 09:26:02,521.3 lux
2022-04-04 09:26:03,521.3 lux
2022-04-04 09:26:04,521.3 lux
2022-04-04 09:26:05,521.3 lux
2022-04-04 09:26:06,521.3 lux
2022-04-04 09:26:07,521.3 lux
2022-04-04 09:26:08,521.3 lux
2022-04-04 09:26:09,521.3 lux
2022-04-04 09:26:10,521.3 lux
2022-04-04 09:26:11,521.3 lux
2022-04-04 09:26:12,521.3 lux
2022-04-04 09:26:13,521.0 lux
2022-04-04 09:26:14,519.3 lux
2022-04-04 09:26:15,521.3 lux
2022-04-04 09:26:16,521.3 lux
2022-04-04 09:26:17,521.3 lux
2022-04-04 09:26:18,520.4 lux
2022-04-04 09:26:19,519.8 lux
2022-04-04 09:26:20,521.3 lux
2022-04-04 09:26:21,518.4 lux
2022-04-04 09:26:22,516.4 lux
2022-04-04 09:26:23,518.4 lux
2022-04-04 09:26:24,516.4 lux
2022-04-04 09:26:25,515.5 lux
2022-04-04 09:26:26,515.5 lux
2022-04-04 09:26:27,515.5 lux
2022-04-04 09:26:28,515.5 lux
2022-04-04 09:26:29,515.5 lux
2022-04-04 09:26:30,515.5 lux
2022-04-04 09:26:31,515.5 lux
2022-04-04 09:26:32,515.5 lux
2022-04-04 09:26:33,515.5 lux
2022-04-04 09:26:34,514.9 lux
2022-04-04 09:26:35,512.6 lux
2022-04-04 09:26:36,512.6 lux
2022-04-04 09:26:37,510.3 lux
2022-04-04 09:26:38,509.8 lux
2022-04-04 09:26:39,509.8 lux
2022-04-04 09:26:40,509.8 lux
2022-04-04 09:26:41,509.8 lux
2022-04-04 09:26:42,506.9 lux
2022-04-04 09:26:43,506.9 lux
