sep=,
"Time","Noise"
2022-04-04 09:21:37,0.0291 Vrms
2022-04-04 09:21:38,0.0306 Vrms
2022-04-04 09:21:39,0.0321 Vrms
2022-04-04 09:21:40,0.0291 Vrms
2022-04-04 09:21:41,0.0245 Vrms
2022-04-04 09:21:42,0.0327 Vrms
2022-04-04 09:21:43,0.0264 Vrms
2022-04-04 09:21:44,0.0330 Vrms
2022-04-04 09:21:45,0.0312 Vrms
2022-04-04 09:21:46,0.0275 Vrms
2022-04-04 09:21:47,0.0307 Vrms
2022-04-04 09:21:48,0.0286 Vrms
2022-04-04 09:21:49,0.0291 Vrms
2022-04-04 09:21:50,0.0313 Vrms
2022-04-04 09:21:51,0.0284 Vrms
2022-04-04 09:21:52,0.0348 Vrms
2022-04-04 09:21:53,0.0296 Vrms
2022-04-04 09:21:54,0.0281 Vrms
2022-04-04 09:21:55,0.0319 Vrms
2022-04-04 09:21:56,0.0336 Vrms
2022-04-04 09:21:57,0.0312 Vrms
2022-04-04 09:21:58,0.0316 Vrms
2022-04-04 09:21:59,0.0280 Vrms
2022-04-04 09:22:00,0.0337 Vrms
2022-04-04 09:22:01,0.0301 Vrms
2022-04-04 09:22:02,0.0325 Vrms
2022-04-04 09:22:03,0.0314 Vrms
2022-04-04 09:22:04,0.0272 Vrms
2022-04-04 09:22:05,0.0305 Vrms
2022-04-04 09:22:06,0.0328 Vrms
2022-04-04 09:22:07,0.0323 Vrms
2022-04-04 09:22:08,0.0324 Vrms
2022-04-04 09:22:09,0.0379 Vrms
2022-04-04 09:22:10,0.0311 Vrms
2022-04-04 09:22:11,0.0362 Vrms
2022-04-04 09:22:12,0.0330 Vrms
2022-04-04 09:22:13,0.0326 Vrms
2022-04-04 09:22:14,0.0311 Vrms
2022-04-04 09:22:15,0.0313 Vrms
2022-04-04 09:22:16,0.0300 Vrms
2022-04-04 09:22:17,0.0285 Vrms
2022-04-04 09:22:18,0.0301 Vrms
2022-04-04 09:22:19,0.0317 Vrms
2022-04-04 09:22:20,0.0308 Vrms
2022-04-04 09:22:21,0.0295 Vrms
2022-04-04 09:22:22,0.0288 Vrms
2022-04-04 09:22:23,0.0317 Vrms
2022-04-04 09:22:24,0.0324 Vrms
2022-04-04 09:22:25,0.0343 Vrms
2022-04-04 09:22:26,0.0349 Vrms
2022-04-04 09:22:27,0.0326 Vrms
2022-04-04 09:22:28,0.0298 Vrms
2022-04-04 09:22:29,0.0325 Vrms
2022-04-04 09:22:30,0.0325 Vrms
2022-04-04 09:22:31,0.0313 Vrms
2022-04-04 09:22:32,0.0293 Vrms
2022-04-04 09:22:33,0.0315 Vrms
2022-04-04 09:22:34,0.0309 Vrms
2022-04-04 09:22:35,0.0279 Vrms
2022-04-04 09:22:36,0.0286 Vrms
2022-04-04 09:22:37,0.0298 Vrms
2022-04-04 09:22:38,0.0274 Vrms
2022-04-04 09:22:39,0.0289 Vrms
2022-04-04 09:22:40,0.0302 Vrms
2022-04-04 09:22:41,0.0286 Vrms
2022-04-04 09:22:42,0.0244 Vrms
2022-04-04 09:22:43,0.0287 Vrms
2022-04-04 09:22:44,0.0277 Vrms
2022-04-04 09:22:45,0.0332 Vrms
2022-04-04 09:22:46,0.0316 Vrms
2022-04-04 09:22:47,0.0311 Vrms
2022-04-04 09:22:48,0.0355 Vrms
2022-04-04 09:22:49,0.0325 Vrms
2022-04-04 09:22:50,0.0376 Vrms
2022-04-04 09:22:51,0.0348 Vrms
2022-04-04 09:22:52,0.0311 Vrms
2022-04-04 09:22:53,0.0306 Vrms
2022-04-04 09:22:54,0.0308 Vrms
2022-04-04 09:22:55,0.0254 Vrms
2022-04-04 09:22:56,0.0264 Vrms
2022-04-04 09:22:57,0.0286 Vrms
2022-04-04 09:22:58,0.0320 Vrms
2022-04-04 09:22:59,0.0236 Vrms
2022-04-04 09:23:00,0.0242 Vrms
2022-04-04 09:23:01,0.0269 Vrms
2022-04-04 09:23:02,0.0278 Vrms
2022-04-04 09:23:03,0.0282 Vrms
2022-04-04 09:23:04,0.0319 Vrms
2022-04-04 09:23:05,0.0292 Vrms
2022-04-04 09:23:06,0.0311 Vrms
2022-04-04 09:23:07,0.0374 Vrms
2022-04-04 09:23:08,0.0290 Vrms
2022-04-04 09:23:09,0.0338 Vrms
2022-04-04 09:23:10,0.0312 Vrms
2022-04-04 09:23:11,0.0329 Vrms
2022-04-04 09:23:12,0.0270 Vrms
2022-04-04 09:23:13,0.0284 Vrms
2022-04-04 09:23:14,0.0315 Vrms
2022-04-04 09:23:15,0.0332 Vrms
2022-04-04 09:23:16,0.0326 Vrms
2022-04-04 09:23:17,0.0336 Vrms
2022-04-04 09:23:18,0.0298 Vrms
2022-04-04 09:23:19,0.0321 Vrms
2022-04-04 09:23:20,0.0316 Vrms
2022-04-04 09:23:21,0.0293 Vrms
2022-04-04 09:23:22,0.0301 Vrms
2022-04-04 09:23:23,0.0313 Vrms
2022-04-04 09:23:24,0.0289 Vrms
2022-04-04 09:23:25,0.0296 Vrms
2022-04-04 09:23:26,0.0332 Vrms
2022-04-04 09:23:27,0.0276 Vrms
2022-04-04 09:23:28,0.0274 Vrms
2022-04-04 09:23:29,0.0282 Vrms
2022-04-04 09:23:30,0.0310 Vrms
2022-04-04 09:23:31,0.0299 Vrms
2022-04-04 09:23:32,0.0305 Vrms
2022-04-04 09:23:33,0.0329 Vrms
2022-04-04 09:23:34,0.0304 Vrms
2022-04-04 09:23:35,0.0322 Vrms
2022-04-04 09:23:36,0.0336 Vrms
2022-04-04 09:23:37,0.0305 Vrms
2022-04-04 09:23:38,0.0300 Vrms
2022-04-04 09:23:39,0.0311 Vrms
2022-04-04 09:23:40,0.0266 Vrms
2022-04-04 09:23:41,0.0284 Vrms
2022-04-04 09:23:42,0.0287 Vrms
2022-04-04 09:23:43,0.0305 Vrms
2022-04-04 09:23:44,0.0329 Vrms
2022-04-04 09:23:45,0.0318 Vrms
2022-04-04 09:23:46,0.0357 Vrms
2022-04-04 09:23:47,0.0342 Vrms
2022-04-04 09:23:48,0.0284 Vrms
2022-04-04 09:23:49,0.0312 Vrms
2022-04-04 09:23:50,0.0359 Vrms
2022-04-04 09:23:51,0.0318 Vrms
2022-04-04 09:23:52,0.0294 Vrms
2022-04-04 09:23:53,0.0288 Vrms
2022-04-04 09:23:54,0.0281 Vrms
2022-04-04 09:23:55,0.0312 Vrms
2022-04-04 09:23:56,0.0287 Vrms
2022-04-04 09:23:57,0.0297 Vrms
2022-04-04 09:23:58,0.0317 Vrms
2022-04-04 09:23:59,0.0310 Vrms
2022-04-04 09:24:00,0.0255 Vrms
2022-04-04 09:24:01,0.0316 Vrms
2022-04-04 09:24:02,0.0307 Vrms
2022-04-04 09:24:03,0.0263 Vrms
2022-04-04 09:24:04,0.0316 Vrms
2022-04-04 09:24:05,0.0278 Vrms
2022-04-04 09:24:06,0.0303 Vrms
2022-04-04 09:24:07,0.0306 Vrms
2022-04-04 09:24:08,0.0294 Vrms
2022-04-04 09:24:09,0.0342 Vrms
2022-04-04 09:24:10,0.0336 Vrms
2022-04-04 09:24:11,0.0297 Vrms
2022-04-04 09:24:12,0.0337 Vrms
2022-04-04 09:24:13,0.0299 Vrms
2022-04-04 09:24:14,0.0309 Vrms
2022-04-04 09:24:15,0.0299 Vrms
2022-04-04 09:24:16,0.0342 Vrms
2022-04-04 09:24:17,0.0317 Vrms
2022-04-04 09:24:18,0.0391 Vrms
2022-04-04 09:24:19,0.0374 Vrms
2022-04-04 09:24:20,0.0330 Vrms
2022-04-04 09:24:21,0.0345 Vrms
2022-04-04 09:24:22,0.0309 Vrms
2022-04-04 09:24:23,0.0358 Vrms
2022-04-04 09:24:24,0.0333 Vrms
2022-04-04 09:24:25,0.0372 Vrms
2022-04-04 09:24:26,0.0343 Vrms
2022-04-04 09:24:27,0.0350 Vrms
2022-04-04 09:24:28,0.0352 Vrms
2022-04-04 09:24:29,0.0320 Vrms
2022-04-04 09:24:30,0.0299 Vrms
2022-04-04 09:24:31,0.0341 Vrms
2022-04-04 09:24:32,0.0345 Vrms
2022-04-04 09:24:33,0.0329 Vrms
2022-04-04 09:24:34,0.0330 Vrms
2022-04-04 09:24:35,0.0355 Vrms
2022-04-04 09:24:36,0.0326 Vrms
2022-04-04 09:24:37,0.0337 Vrms
2022-04-04 09:24:38,0.0302 Vrms
2022-04-04 09:24:39,0.0285 Vrms
2022-04-04 09:24:40,0.0291 Vrms
2022-04-04 09:24:41,0.0320 Vrms
2022-04-04 09:24:42,0.0303 Vrms
2022-04-04 09:24:43,0.0307 Vrms
2022-04-04 09:24:44,0.0336 Vrms
2022-04-04 09:24:45,0.0292 Vrms
2022-04-04 09:24:46,0.0297 Vrms
2022-04-04 09:24:47,0.0291 Vrms
2022-04-04 09:24:48,0.0327 Vrms
2022-04-04 09:24:49,0.0270 Vrms
2022-04-04 09:24:50,0.0290 Vrms
2022-04-04 09:24:51,0.0323 Vrms
2022-04-04 09:24:52,0.0316 Vrms
2022-04-04 09:24:53,0.0312 Vrms
2022-04-04 09:24:54,0.0321 Vrms
2022-04-04 09:24:55,0.0281 Vrms
2022-04-04 09:24:56,0.0300 Vrms
2022-04-04 09:24:57,0.0298 Vrms
2022-04-04 09:24:58,0.0312 Vrms
2022-04-04 09:24:59,0.0303 Vrms
2022-04-04 09:25:00,0.0319 Vrms
2022-04-04 09:25:01,0.0281 Vrms
2022-04-04 09:25:02,0.0314 Vrms
2022-04-04 09:25:03,0.0285 Vrms
2022-04-04 09:25:04,0.0278 Vrms
2022-04-04 09:25:05,0.0296 Vrms
2022-04-04 09:25:06,0.0310 Vrms
2022-04-04 09:25:07,0.0324 Vrms
2022-04-04 09:25:08,0.0339 Vrms
2022-04-04 09:25:09,0.0353 Vrms
